David,M,US 1960," " 
Michael,M,US 1960," " 
James,M,US 1960," " 
John,M,US 1960," " 
Robert,M,US 1960," " 
Mark,M,US 1960," " 
William,M,US 1960," " 
Richard,M,US 1960," " 
Thomas,M,US 1960," " 
Steven,M,US 1960," " 
Timothy,M,US 1960," " 
Joseph,M,US 1960," " 
Charles,M,US 1960," " 
Jeffrey,M,US 1960," " 
Kevin,M,US 1960," " 
Kenneth,M,US 1960," " 
Daniel,M,US 1960," " 
Paul,M,US 1960," " 
Donald,M,US 1960," " 
Brian,M,US 1960," " 
Ronald,M,US 1960," " 
Gary,M,US 1960," " 
Scott,M,US 1960," " 
Gregory,M,US 1960," " 
Anthony,M,US 1960," " 
Edward,M,US 1960," " 
Stephen,M,US 1960," " 
Larry,M,US 1960," " 
Christopher,M,US 1960," " 
Douglas,M,US 1960," " 
Dennis,M,US 1960," " 
Randy,M,US 1960," " 
George,M,US 1960," " 
Terry,M,US 1960," " 
Keith,M,US 1960," " 
Mike,M,US 1960," " 
Jerry,M,US 1960," " 
Ricky,M,US 1960," " 
Bruce,M,US 1960," " 
Frank,M,US 1960," " 
Peter,M,US 1960," " 
Craig,M,US 1960," " 
Steve,M,US 1960," " 
Eric,M,US 1960," " 
Patrick,M,US 1960," " 
Raymond,M,US 1960," " 
Roger,M,US 1960," " 
Danny,M,US 1960," " 
Jeff,M,US 1960," " 
Alan,M,US 1960," " 
Andrew,M,US 1960," " 
Tony,M,US 1960," " 
Carl,M,US 1960," " 
Dale,M,US 1960," " 
Jeffery,M,US 1960," " 
Russell,M,US 1960," " 
Joe,M,US 1960," " 
Wayne,M,US 1960," " 
Randall,M,US 1960," " 
Tim,M,US 1960," " 
Matthew,M,US 1960," " 
Gerald,M,US 1960," " 
Chris,M,US 1960," " 
Lawrence,M,US 1960," " 
Johnny,M,US 1960," " 
Phillip,M,US 1960," " 
Billy,M,US 1960," " 
Rodney,M,US 1960," " 
Jimmy,M,US 1960," " 
Walter,M,US 1960," " 
Todd,M,US 1960," " 
Barry,M,US 1960," " 
Bobby,M,US 1960," " 
Glenn,M,US 1960," " 
Jim,M,US 1960," " 
Philip,M,US 1960," " 
Martin,M,US 1960," " 
Jay,M,US 1960," " 
Curtis,M,US 1960," " 
Willie,M,US 1960," " 
Roy,M,US 1960," " 
Arthur,M,US 1960," " 
Greg,M,US 1960," " 
Henry,M,US 1960," " 
Jack,M,US 1960," " 
Tom,M,US 1960," " 
Ronnie,M,US 1960," " 
Ralph,M,US 1960," " 
Bryan,M,US 1960," " 
Bradley,M,US 1960," " 
Samuel,M,US 1960," " 
Harold,M,US 1960," " 
Albert,M,US 1960," " 
Dean,M,US 1960," " 
Bill,M,US 1960," " 
Darryl,M,US 1960," " 
Jon,M,US 1960," " 
Vincent,M,US 1960," " 
Allen,M,US 1960," " 
Rick,M,US 1960," " 
Stanley,M,US 1960," " 
Eddie,M,US 1960," " 
Victor,M,US 1960," " 
Darrell,M,US 1960," " 
Micheal,M,US 1960," " 
Louis,M,US 1960," " 
Jose,M,US 1960," " 
Howard,M,US 1960," " 
Eugene,M,US 1960," " 
Joel,M,US 1960," " 
Dan,M,US 1960," " 
Tommy,M,US 1960," " 
Leonard,M,US 1960," " 
Frederick,M,US 1960," " 
Don,M,US 1960," " 
Lee,M,US 1960," " 
Fred,M,US 1960," " 
Jonathan,M,US 1960," " 
Marvin,M,US 1960," " 
Ernest,M,US 1960," " 
Ray,M,US 1960," " 
Dave,M,US 1960," " 
Dwayne,M,US 1960," " 
Harry,M,US 1960," " 
Melvin,M,US 1960," " 
Mitchell,M,US 1960," " 
Duane,M,US 1960," " 
Kelly,M,US 1960," " 
Calvin,M,US 1960," " 
Kurt,M,US 1960," " 
Bob,M,US 1960," " 
Norman,M,US 1960," " 
Jerome,M,US 1960," " 
Brad,M,US 1960," " 
Karl,M,US 1960," " 
Marc,M,US 1960," " 
Tracy,M,US 1960," " 
Rickey,M,US 1960," " 
Earl,M,US 1960," " 
