Le Calowe,England 1296
Le Ward,England 1296
Hert,England 1296
Carpentarius,England 1296
De Polham,England 1296
Carpentarius,England 1296
Le  Calowe,England 1296
Wello,England 1296
Ad Crucem,England 1296
Cotel,England 1296
De Herdewyk,England 1296
Wolf,England 1296
Le Laduner?,England 1296
Le Rous,England 1296
Kyng,England 1296
Blench,England 1296
Pokoc,England 1296
De Alstorp,England 1296
Dringlebell,England 1296
Clericus,England 1296
Ward,England 1296
Hert,England 1296
Loueric,England 1296
Brydy,England 1296
Brid,England 1296
In Le Wylowes,England 1296
Hert,England 1296
In Le Wro,England 1296
Lank,England 1296
Bate,England 1296
Parson,England 1296
In Le Wro,England 1296
De Herdewik,England 1296
De Herdewik,England 1296
Kest,England 1296
Atte Suthmilne,England 1296
Loueric,England 1296
Neucomen,England 1296
Basset,England 1296
De Wodecroft,England 1296
De Herdewyk,England 1296
Condy,England 1296
Justiz,England 1296
De Thorp,England 1296
Pokoc,England 1296
Hobburd,England 1296
Pingel,England 1296
De Scepeye,England 1296
Hurnot,England 1296
De Herdewyk,England 1296
Tok,England 1296
Litelswet,England 1296
Little,England 1296
Prodhomme,England 1296
De Langham,England 1296
Litelswet,England 1296
Careman,England 1296
De Gredleye,England 1296
Baret,England 1296
De Gredeleye,England 1296
Miccle,England 1296
Syer,England 1296
Hurnot,England 1296
Syer,England 1296
De Empingham,England 1296
De Tykesouer,England 1296
Clericus,England 1296
Cotel,England 1296
De Clifford,England 1296
Le Vinour,England 1296
Heumound,England 1296
Reyner,England 1296
Hod,England 1296
Wolwyne,England 1296
Ormere,England 1296
Mariot,England 1296
Le Vinour,England 1296
Godefrey,England 1296
Makehayt,England 1296
Le  Writte,England 1296
Aboueyetoun,England 1296
Boye,England 1296
Relicta Hugonis,England 1296
De Bedeford,England 1296
Laurence,England 1296
Godefrey,England 1296
De Witewell,England 1296
Wolewine,England 1296
Knot,England 1296
De Bedeford,England 1296
De Brus,England 1296
Vidua,England 1296
Goldcorn,England 1296
Wymark,England 1296
Ad Pontem,England 1296
Fole,England 1296
Ad Parcum,England 1296
De Westhorp,England 1296
Miriel,England 1296
Ad Aulam,England 1296
Mote,England 1296
De Alstorp,England 1296
Wangeford,England 1296
Wilkoc,England 1296
Kingessone,England 1296
Osbern,England 1296
Pole,England 1296
Basset,England 1296
Vidua,England 1296
De Slauston,England 1296
Carpentarius,England 1296
Atte Wodegate,England 1296
Chomin,England 1296
Vidua,England 1296
Ad Aulam,England 1296
Mote,England 1296
Ad Curiam,England 1296
Carpentarius,England 1296
Ad Aulam,England 1296
Ad Curiam,England 1296
Louet,England 1296
Hendeman,England 1296
Clauer,England 1296
Mote,England 1296
De Scaldeford,England 1296
Marescall,England 1296
Daui,England 1296
De Crokesdale,England 1296
Daui,England 1296
Le Heyre,England 1296
Herennte,England 1296
Jermeyn,England 1296
Ad Aquam,England 1296
Kyng,England 1296
De Gunthorp,England 1296
De Langham,England 1296
De Bokeland,England 1296
Miriel,England 1296
Le Gardiner,England 1296
De Paunton,England 1296
En Le Wro,England 1296
Kempe,England 1296
Launcy,England 1296
Ad Fontem,England 1296
Onyehil,England 1296
In Venella,England 1296
Le Goyz,England 1296
Clericus,England 1296
De Wynge,England 1296
Byestoun,England 1296
Kirkeman,England 1296
Gale,England 1296
En Le Wro,England 1296
Tubbe,England 1296
Westoun,England 1296
Ad Crucem,England 1296
Prepositus,England 1296
Ad Portam,England 1296
Carnifex,England 1296
Dinkel,England 1296
De Eston,England 1296
De Umfrauvile,England 1296
Taliard,England 1296
Ad Fontem,England 1296
De Glen,England 1296
Spark,England 1296
Seselm,England 1296
Gerbod,England 1296
De Langham,England 1296
De Exton,England 1296
Forman,England 1296
De Thy,England 1296
Broun,England 1296
Ad Pir,England 1296
In þE Wro,England 1296
Ampe,England 1296
Spark,England 1296
De Manton,England 1296
Gambesoun,England 1296
De Ardern,England 1296
De Ocle,England 1296
De Castreton,England 1296
Gredeleye,England 1296
Broun,England 1296
Capellanus,England 1296
Litelpaty,England 1296
In Venella,England 1296
Squirel,England 1296
In Venella,England 1296
Oysel,England 1296
De Beroudon,England 1296
Rowe,England 1296
Squirel,England 1296
Ketel,England 1296
Broun,England 1296
Hayt,England 1296
Prodfot,England 1296
Sanderhil,England 1296
Ad Ecclesiam,England 1296
Cementor,England 1296
Del Wodeheued,England 1296
Ad Boscum,England 1296
Hacle,England 1296
Broun,England 1296
De Thorp,England 1296
Clement,England 1296
De Warewik,England 1296
Clericus,England 1296
Rikeman,England 1296
Ad Pontem,England 1296
Ad Crucem,England 1296
Ad Pontem,England 1296
De Wyme,England 1296
Junior,England 1296
De Herdewik,England 1296
Super Montem,England 1296
Bygot,England 1296
Iuet,England 1296
De Cotismor,England 1296
De Broune,England 1296
Byestoun,England 1296
Iuet,England 1296
De Moundevile,England 1296
Florence,England 1296
De Horne,England 1296
Relicta Thome,England 1296
Bussoun,England 1296
Bussun,England 1296
Le  Deye,England 1296
De Ingethorp,England 1296
Bussoun,England 1296
Ad Pontem,England 1296
Of Warwick,England 1296
Iuet,England 1296
Porteioye,England 1296
Busse,England 1296
Wyot,England 1296
De Bellefeld,England 1296
Campioun,England 1296
Chapman,England 1296
Ad Portam,England 1296
Cirkoc,England 1296
Iuet,England 1296
Clericus,England 1296
Wyot,England 1296
De Kilpisham,England 1296
De Gretham,England 1296
Le Blound,England 1296
De Thistilton,England 1296
